Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.728,0.0234,3158679552,0.587204098701477
tensorflow_js_wasm,10%,1.7763,0.0371,3158678272,0.5872052907943726
rust_wasm_cpu,10%,0.0915,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9962,0.0438,3175502848,0.5910956859588623
python_gpu,10%,7.0599,0.956,3158676224.0,0.5872045755386353
tensorflow_js_cpu,50%,13.1806,0.0852,3463436544,0.588198184967041
tensorflow_js_wasm,50%,9.8876,0.9822,3463308544,0.5881485939025879
rust_wasm_cpu,50%,0.3343,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.5527,0.1861,3480165120,0.5921101570129395
python_gpu,50%,14.0293,4.0453,3463450368.0,0.5881965160369873
tensorflow_js_cpu,100%,24.6772,0.1448,3612860672,0.5727016925811768
tensorflow_js_wasm,100%,26.2825,4.0135,3612241408,0.5728108882904053
rust_wasm_cpu,100%,0.714,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,13.9446,0.3907,3613160704,0.5765877962112427
python_gpu,100%,24.3301,7.9549,3612952576.0,0.5726907253265381
