Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.41139999999851,0.02129999999701977,3158683648,0.5872035622596741
tensorflow_js_wasm,10%,1.6716999999955298,0.05320000000298023,3158667776,0.5872067213058472
rust_wasm_cpu,10%,0.07939999999850988,0.00010000000149011611,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.95460000000149,0.045100000001490115,3158492416,0.5911415219306946
python_gpu,10%,6.894376993179321,0.999366283416748,3158678272.0,0.5872042179107666
tensorflow_js_cpu,50%,12.50879999999702,0.07510000000149011,3463432448,0.5881986618041992
tensorflow_js_wasm,50%,9.0145,1.0185,3463339776,0.588144838809967
rust_wasm_cpu,50%,0.3677999999970198,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.3587000000029805,0.2095,3480258048,0.5881776213645935
python_gpu,50%,13.710561037063599,4.3653810024261475,3463434752.0,0.5881983637809753
tensorflow_js_cpu,100%,30.24529999999702,0.204,3612953344,0.5726907253265381
tensorflow_js_wasm,100%,27.55739999999851,4.26230000000447,3612320000,0.5728015899658203
rust_wasm_cpu,100%,0.7575,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.70639999999851,0.4316000000014901,3596219904,0.5726933479309082
python_gpu,100%,23.097809553146362,8.639962911605835,3613006336.0,0.5726844072341919
