Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,20.2809,0.0003,0.8650000095367432,0.4392660856246948
tensorflow_js_wasm,10%,10.0437,0.0002,0.8809999823570251,0.419791579246521
rust_wasm_cpu,10%,57.1788,5.6797,0.5164667019405397,11.534495126876786
tensorflow_js_webgpu,10%,4.604,0.0003,0.8840000629425049,0.4124258756637573
python_gpu,10%,4.6257,0.241,0.8790000081062317,0.4164842963218689
tensorflow_js_cpu,50%,100.8015,0.0002,0.9157999753952026,0.2921275496482849
tensorflow_js_wasm,50%,50.3555,0.0002,0.9146000146865845,0.27306273579597473
rust_wasm_cpu,50%,58.9269,5.6672,0.739264023891226,6.373757661722481
tensorflow_js_webgpu,50%,22.48,0.0004,0.917400062084198,0.27909496426582336
python_gpu,50%,24.4139,0.27,0.9178000092506409,0.2743717432022095
tensorflow_js_cpu,100%,201.7884,0.0002,0.9544000029563904,0.15414206683635712
tensorflow_js_wasm,100%,99.3572,0.0007,0.9527000188827515,0.16468173265457153
rust_wasm_cpu,100%,58.1322,5.6316,0.8439082815047836,3.9798496739887232
tensorflow_js_webgpu,100%,43.0999,0.0012,0.954300045967102,0.15417183935642242
python_gpu,100%,43.4401,0.2452,0.9508000016212463,0.1609559804201126
