Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,15.85190000000596,9.999999403953553e-05,0.8799999952316284,0.42655202746391296
tensorflow_js_wasm,10%,10.24189999999851,0.00029999999701976776,0.8579999804496765,0.4439567029476166
rust_wasm_cpu,10%,57.22070000000298,5.71730000000447,0.5544623832744641,11.347369764731397
tensorflow_js_webgpu,10%,4.68089999999851,0.006700000002980233,0.8790000677108765,0.43347418308258057
python_gpu,10%,7.237971782684326,0.30608177185058594,0.8700000047683716,0.43741196393966675
tensorflow_js_cpu,50%,95.47329999999702,0.00019999999552965163,0.9169999957084656,0.28333723545074463
tensorflow_js_wasm,50%,51.76570000000298,0.00029999999701976776,0.9136000275611877,0.3048434853553772
rust_wasm_cpu,50%,57.85390000000596,5.675699999988079,0.7880945885798791,5.551503083407747
tensorflow_js_webgpu,50%,21.94690000000596,0.007199999995529651,0.9172000288963318,0.28542977571487427
python_gpu,50%,27.34738802909851,0.2536964416503906,0.9161999821662903,0.2819650173187256
tensorflow_js_cpu,100%,190.93079999999702,0.00029999999701976776,0.9531999826431274,0.15766288340091705
tensorflow_js_wasm,100%,105.53660000000149,0.0008000000044703484,0.9506000280380249,0.1623329520225525
rust_wasm_cpu,100%,59.27710000000894,5.72529999999702,0.8420034921138834,4.033018327396126
tensorflow_js_webgpu,100%,42.261,0.09280000000447035,0.9523000717163086,0.16548852622509003
python_gpu,100%,52.90213203430176,0.26405930519104004,0.9509999752044678,0.16386818885803223
