Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3542,0.0164,3158676480,0.5872045159339905
tensorflow_js_wasm,10%,1.7352,0.0363,3158671104,0.587206244468689
rust_wasm_cpu,10%,0.0839,0.0002,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.8655,0.0398,3175556864,0.5872063040733337
python_gpu,10%,6.7242,0.9212,3158680832.0,0.5872039794921875
tensorflow_js_cpu,50%,11.1818,0.0746,3463460864,0.588195264339447
tensorflow_js_wasm,50%,11.7295,1.0184,3463319296,0.5881472826004028
rust_wasm_cpu,50%,0.378,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1161,0.1899,3480181504,0.5882173180580139
python_gpu,50%,13.4063,3.6881,3463452672.0,0.5881962776184082
tensorflow_js_cpu,100%,23.6846,0.1448,3612921088,0.5726945400238037
tensorflow_js_wasm,100%,28.4421,4.3751,3612340480,0.5727992057800293
rust_wasm_cpu,100%,0.6913,0.0011,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.3727,0.3813,3596276736,0.572686493396759
python_gpu,100%,21.071,7.4994,3612846080.0,0.5727033615112305
