Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3298,0.0164,3158676480,0.5872045159339905
tensorflow_js_wasm,10%,1.6827,0.0671,3158667520,0.5872067213058472
rust_wasm_cpu,10%,0.0775,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.893,0.0429,3158715136,0.5911123752593994
python_gpu,10%,6.6278,0.889,3158676224.0,0.5872045755386353
tensorflow_js_cpu,50%,11.2414,0.0725,3463442688,0.5881973505020142
tensorflow_js_wasm,50%,11.5521,1.0357,3463441664,0.5881327390670776
rust_wasm_cpu,50%,0.3452,0.0004,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,5.9824,0.193,3463319040,0.5921257734298706
python_gpu,50%,13.5307,3.7908,3463432448.0,0.5881986618041992
tensorflow_js_cpu,100%,23.9181,0.1454,3612833024,0.5727049112319946
tensorflow_js_wasm,100%,29.0112,4.3269,3612272896,0.5728071331977844
rust_wasm_cpu,100%,0.6915,0.0009,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.4282,0.3839,3612959488,0.5766041874885559
python_gpu,100%,20.867,7.3815,3613019136.0,0.5726828575134277
