Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.4097000000029802,0.0165,3158684416,0.5872035026550293
tensorflow_js_wasm,10%,1.669,0.05710000000149012,3158677248,0.5872054100036621
rust_wasm_cpu,10%,0.08080000000447035,0.00019999999552965163,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9683999999985098,0.049399999998509886,3175261440,0.5911425352096558
python_gpu,10%,6.809155702590942,0.9698426723480225,3158676480.0,0.5872045159339905
tensorflow_js_cpu,50%,11.84260000000149,0.07620000000298023,3463432704,0.5881986021995544
tensorflow_js_wasm,50%,9.07410000000149,1.0016999999955296,3463371776,0.5881410837173462
rust_wasm_cpu,50%,0.3712999999970198,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.12279999999702,0.20929999999701976,3463372288,0.5881979465484619
python_gpu,50%,13.848381757736206,4.2095255851745605,3463471616.0,0.5881940126419067
tensorflow_js_cpu,100%,24.99189999999851,0.14760000000149012,3612890368,0.572698175907135
tensorflow_js_wasm,100%,26.51169999999553,4.071700000002981,3612348416,0.5727982521057129
rust_wasm_cpu,100%,0.7656000000014901,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,12.05229999999702,0.42320000000298025,3612889344,0.5766046643257141
python_gpu,100%,22.709659099578857,8.497579336166382,3612892928.0,0.5726978182792664
