Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.348,0.0158,3158681856,0.5872038006782532
tensorflow_js_wasm,10%,1.665,0.0356,3158667264,0.5872067213058472
rust_wasm_cpu,10%,0.2123,0.0003,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9039,0.0416,3175493376,0.5871907472610474
python_gpu,10%,6.6112,0.9023,3158678272.0,0.5872042179107666
tensorflow_js_cpu,50%,11.4409,0.0727,3463432704,0.5881986021995544
tensorflow_js_wasm,50%,9.0468,1.0935,3463382272,0.5881397724151611
rust_wasm_cpu,50%,0.3363,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,5.9867,0.197,3480102400,0.5882035493850708
python_gpu,50%,13.5577,3.7373,3463434240.0,0.5881984233856201
tensorflow_js_cpu,100%,31.3655,0.1682,3613417472,0.5726358294487
tensorflow_js_wasm,100%,28.2055,4.3635,3612211712,0.5728143453598022
rust_wasm_cpu,100%,0.6902,0.0011,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.2314,0.389,3612935936,0.5766221284866333
python_gpu,100%,20.7827,7.5901,3612838400.0,0.5727042555809021
