Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.45379999999702,0.014100000001490117,3158675968,0.5872045755386353
tensorflow_js_wasm,10%,1.6432000000029803,0.03659999999403953,3158689792,0.5872038006782532
rust_wasm_cpu,10%,0.08120000000298024,0.00010000000149011611,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9473999999985099,0.04830000000447035,3175331840,0.5911418795585632
python_gpu,10%,6.7407066822052,0.9812841415405273,3158676480.0,0.5872045159339905
tensorflow_js_cpu,50%,11.92439999999851,0.07539999999850988,3463433728,0.5881984829902649
tensorflow_js_wasm,50%,9.12019999999553,0.9918000000044703,3463353856,0.5881432294845581
rust_wasm_cpu,50%,0.3681000000014901,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.26639999999851,0.215,3463427072,0.5921055674552917
python_gpu,50%,13.636654376983643,4.238751411437988,3463442432.0,0.5881974697113037
tensorflow_js_cpu,100%,25.20260000000149,0.14629999999701976,3612883200,0.5726990699768066
tensorflow_js_wasm,100%,26.685,4.03269999999553,3612484352,0.5727821588516235
rust_wasm_cpu,100%,0.7638999999985099,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.72939999999851,0.4151000000014901,3612951040,0.572675883769989
python_gpu,100%,23.054550647735596,8.58949875831604,3612830976.0,0.5727051496505737
