Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3219,0.0156,3158681856,0.5872038006782532
tensorflow_js_wasm,10%,1.642,0.0365,3158666752,0.5872067809104919
rust_wasm_cpu,10%,0.0855,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.8382,0.0389,3158728704,0.5872043967247009
python_gpu,10%,6.7598,0.8942,3158676736.0,0.5872044563293457
tensorflow_js_cpu,50%,11.2915,0.0704,3463463680,0.5881949663162231
tensorflow_js_wasm,50%,10.5783,1.051,3463372544,0.5881409645080566
rust_wasm_cpu,50%,0.3373,0.0004,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1188,0.192,3463384576,0.5921258330345154
python_gpu,50%,13.5206,3.783,3463432960.0,0.5881985425949097
tensorflow_js_cpu,100%,24.3496,0.1475,3612865536,0.572701096534729
tensorflow_js_wasm,100%,28.4771,4.208,3612084224,0.5728294849395752
rust_wasm_cpu,100%,0.6897,0.0011,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.6486,0.3773,3612908544,0.5765793323516846
python_gpu,100%,21.5511,7.6448,3612830720.0,0.5727051496505737
