Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,19.20010000000149,0.00020000000298023223,0.8629999756813049,0.47236472368240356
tensorflow_js_wasm,10%,10.17169999999553,0.0005,0.8730000257492065,0.4234265685081482
rust_wasm_cpu,10%,57.22569999999553,5.70860000000149,0.5144503710906777,11.631806564227785
tensorflow_js_webgpu,10%,4.55620000000298,0.006400000005960464,0.8700000643730164,0.44823262095451355
python_gpu,10%,7.067811012268066,0.2561831474304199,0.8790000081062317,0.4172714948654175
tensorflow_js_cpu,50%,95.00030000000447,0.00020000000298023223,0.9142000079154968,0.2843684256076813
tensorflow_js_wasm,50%,51.50739999999851,0.00010000000149011611,0.9115999937057495,0.2948017120361328
rust_wasm_cpu,50%,57.69259999999404,5.668,0.7844908038880674,5.539785852362568
tensorflow_js_webgpu,50%,21.7965,0.006900000005960465,0.9170000553131104,0.28460341691970825
python_gpu,50%,27.234700679779053,0.25553417205810547,0.920799970626831,0.2816758453845978
tensorflow_js_cpu,100%,190.8831000000015,0.00020000000298023223,0.9513999819755554,0.16666732728481293
tensorflow_js_wasm,100%,105.35639999999852,0.0006999999955296516,0.949400007724762,0.16278992593288422
rust_wasm_cpu,100%,60.08209999999404,5.707399999991059,0.8359860892653573,4.137339701878285
tensorflow_js_webgpu,100%,44.91610000000149,0.06779999999701977,0.9532000422477722,0.15747854113578796
python_gpu,100%,52.50260329246521,0.26557278633117676,0.9521999955177307,0.15991683304309845
