Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.6644,0.0187,3158675968,0.5872045755386353
tensorflow_js_wasm,10%,1.7596,0.0362,3158683136,0.5872046947479248
rust_wasm_cpu,10%,0.0719,0.0002,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9689,0.0427,3175556864,0.5872063040733337
python_gpu,10%,7.1199,1.0344,3158681600.0,0.587203860282898
tensorflow_js_cpu,50%,12.2694,0.084,3463432960,0.5881985425949097
tensorflow_js_wasm,50%,9.5071,0.9902,3463368448,0.5881414413452148
rust_wasm_cpu,50%,0.3441,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.4604,0.2129,3463412480,0.592107355594635
python_gpu,50%,15.1698,4.0561,3463438592.0,0.5881979465484619
tensorflow_js_cpu,100%,24.2,0.1468,3613016064,0.5726833343505859
tensorflow_js_wasm,100%,26.8238,3.8807,3612333056,0.5728000402450562
rust_wasm_cpu,100%,0.7032,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,13.1137,0.4238,3612785664,0.5766243934631348
python_gpu,100%,23.896,7.9032,3612841472.0,0.5727038979530334
