Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.337,0.0142,3158678272,0.5872042775154114
tensorflow_js_wasm,10%,1.6057,0.0376,3158655744,0.5872082710266113
rust_wasm_cpu,10%,0.0666,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.8523,0.0398,3175565312,0.591096043586731
python_gpu,10%,6.7616,0.9053,3158676736.0,0.5872044563293457
tensorflow_js_cpu,50%,11.2331,0.0711,3463438336,0.5881979465484619
tensorflow_js_wasm,50%,11.0662,1.0737,3463397376,0.5881379842758179
rust_wasm_cpu,50%,0.336,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1406,0.197,3480097536,0.5882041454315186
python_gpu,50%,13.2861,3.7013,3463434752.0,0.5881983637809753
tensorflow_js_cpu,100%,23.6283,0.1397,3612864000,0.5727012753486633
tensorflow_js_wasm,100%,29.0832,4.2736,3612522240,0.5727776288986206
rust_wasm_cpu,100%,0.7353,0.0014,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.932,0.3876,3596310784,0.5765811204910278
python_gpu,100%,20.7331,7.2004,3613440512.0,0.5726330280303955
