Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.4887000000029804,0.016200000002980233,3158678784,0.5872042179107666
tensorflow_js_wasm,10%,1.5841000000014902,0.054600000001490116,3158664960,0.5872070789337158
rust_wasm_cpu,10%,0.10120000000298023,9.999999403953553e-05,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9491000000014902,0.04729999999701977,3175274752,0.59112548828125
python_gpu,10%,6.822339296340942,1.0302433967590332,3158694144.0,0.5872021913528442
tensorflow_js_cpu,50%,11.84979999999702,0.07410000000149011,3463441664,0.5881975293159485
tensorflow_js_wasm,50%,9.70789999999851,0.9923000000044704,3463399424,0.5881377458572388
rust_wasm_cpu,50%,0.3712999999970198,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.13289999999851,0.211,3463431936,0.588198721408844
python_gpu,50%,13.730051517486572,4.228427410125732,3463440128.0,0.5881977081298828
tensorflow_js_cpu,100%,32.07839999999851,0.18979999999701977,3612841728,0.5727039575576782
tensorflow_js_wasm,100%,26.627,4.2555,3612403968,0.5727916359901428
rust_wasm_cpu,100%,0.7653999999985099,0.0008999999985098839,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.81560000000149,0.43359999999403953,3596136192,0.5765787363052368
python_gpu,100%,23.1099853515625,8.76533317565918,3612985344.0,0.5726869106292725
