Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.4257,0.0201,3158681088,0.587203860282898
tensorflow_js_wasm,10%,1.6514,0.0399,3158664704,0.5872070789337158
rust_wasm_cpu,10%,0.0891,0.0002,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.1894,0.1623,3158782976,0.5910967588424683
python_gpu,10%,6.6186,0.8891,3158676480.0,0.5872045159339905
tensorflow_js_cpu,50%,11.3942,0.0742,3463433472,0.5881985425949097
tensorflow_js_wasm,50%,8.9983,1.0826,3463318272,0.5881474018096924
rust_wasm_cpu,50%,0.3383,0.0004,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1018,0.2892,3463395584,0.5921245217323303
python_gpu,50%,12.2861,4.1691,3463450368.0,0.5881965160369873
tensorflow_js_cpu,100%,29.6914,0.1888,3612832000,0.5727050304412842
tensorflow_js_wasm,100%,28.7953,4.2338,3612267520,0.572807788848877
rust_wasm_cpu,100%,0.6834,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.5491,0.5154,3612881920,0.572699248790741
python_gpu,100%,20.7304,8.2118,3612975872.0,0.5726879835128784
