Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,19.2165,0.00019999999552965163,0.871999979019165,0.43864381313323975
tensorflow_js_wasm,10%,10.212599999994039,0.0005,0.8759999871253967,0.42901280522346497
rust_wasm_cpu,10%,57.301,5.67529999999702,0.5643438344606673,11.488846842614509
tensorflow_js_webgpu,10%,4.5235,0.006600000001490116,0.8640000224113464,0.4341917634010315
python_gpu,10%,7.183186054229736,0.25403547286987305,0.8769999742507935,0.42003390192985535
tensorflow_js_cpu,50%,95.74910000000149,0.00010000000149011611,0.9139999747276306,0.2991717457771301
tensorflow_js_wasm,50%,51.54029999999702,0.0005999999940395355,0.9156000018119812,0.28787022829055786
rust_wasm_cpu,50%,58.958,5.741900000005961,0.783658056827808,5.5952848664736345
tensorflow_js_webgpu,50%,21.90539999999851,0.006899999998509884,0.9206000566482544,0.26888272166252136
python_gpu,50%,27.565382957458496,0.25395965576171875,0.9205999970436096,0.2715977728366852
tensorflow_js_cpu,100%,191.28570000000298,0.0003000000044703484,0.9526000022888184,0.16459855437278748
tensorflow_js_wasm,100%,107.1483999999985,0.0006999999955296516,0.9524000287055969,0.1575401872396469
rust_wasm_cpu,100%,59.02660000000894,5.70290000000596,0.8408923649691915,4.023466097269223
tensorflow_js_webgpu,100%,42.39360000000149,0.09240000000596046,0.9494000673294067,0.1739480048418045
python_gpu,100%,52.68263053894043,0.2939486503601074,0.9516000151634216,0.16143353283405304
