Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,20.2918,0.0003,0.8650000095367432,0.4320972263813019
tensorflow_js_wasm,10%,10.1419,0.0002,0.8709999918937683,0.4395841062068939
rust_wasm_cpu,10%,57.2346,5.6777,0.5529322598635759,10.782069483028005
tensorflow_js_webgpu,10%,4.7102,0.0002,0.8710000514984131,0.4231957495212555
python_gpu,10%,6.4598,0.2423,0.8529999852180481,0.44968181848526
tensorflow_js_cpu,50%,101.3483,0.0003,0.9172000288963318,0.2747359573841095
tensorflow_js_wasm,50%,50.1616,0.0003,0.9128000140190125,0.2836378514766693
rust_wasm_cpu,50%,58.9246,5.6703,0.7825525133167741,5.606693652980885
tensorflow_js_webgpu,50%,22.7062,0.0002,0.9160000681877136,0.28358548879623413
python_gpu,50%,24.3751,0.2444,0.9211999773979187,0.26972752809524536
tensorflow_js_cpu,100%,203.8369,0.0002,0.9538999795913696,0.15716010332107544
tensorflow_js_wasm,100%,100.574,0.0006,0.9563000202178955,0.15330295264720917
rust_wasm_cpu,100%,58.3037,5.6183,0.8504307421463513,3.7474056908663784
tensorflow_js_webgpu,100%,41.4179,0.0744,0.9501000642776489,0.16918019950389862
python_gpu,100%,44.6488,0.2499,0.9564999938011169,0.15012282133102417
