Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.6981,0.0184,3158675968,0.5872045755386353
tensorflow_js_wasm,10%,1.8661,0.0852,3158670080,0.5872063636779785
rust_wasm_cpu,10%,0.0764,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.2458,0.1593,3158806784,0.5871722102165222
python_gpu,10%,7.5082,1.1344,3158699520.0,0.5872014760971069
tensorflow_js_cpu,50%,13.4728,0.0868,3463435264,0.5881983041763306
tensorflow_js_wasm,50%,11.6902,1.402,3463363584,0.5881420373916626
rust_wasm_cpu,50%,0.3589,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.8274,0.3744,3463333632,0.5882026553153992
python_gpu,50%,14.4726,4.3967,3463470592.0,0.5881941318511963
tensorflow_js_cpu,100%,26.6764,0.145,3612840704,0.5727040767669678
tensorflow_js_wasm,100%,37.6942,5.6762,3612365056,0.5727962255477905
rust_wasm_cpu,100%,0.6971,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,14.0911,0.8193,3612948480,0.5766053795814514
python_gpu,100%,22.7418,9.1086,3612961024.0,0.5726897716522217
