Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,20.6653,0.0002,0.8690000176429749,0.43851223587989807
tensorflow_js_wasm,10%,10.1376,0.0002,0.8809999823570251,0.4244807958602905
rust_wasm_cpu,10%,57.1679,5.6761,0.4994065409200761,12.252958175382043
tensorflow_js_webgpu,10%,4.6378,0.0003,0.8710000514984131,0.43720343708992004
python_gpu,10%,4.8463,0.2487,0.8830000162124634,0.4292898178100586
tensorflow_js_cpu,50%,100.0927,0.0002,0.9174000024795532,0.28640010952949524
tensorflow_js_wasm,50%,50.3449,0.0001,0.9200000166893005,0.2727763056755066
rust_wasm_cpu,50%,58.8157,5.6675,0.7944119800715014,5.533524675477805
tensorflow_js_webgpu,50%,22.4849,0.0003,0.9130000472068787,0.28883352875709534
python_gpu,50%,23.23,0.2443,0.9157999753952026,0.287960022687912
tensorflow_js_cpu,100%,200.4862,0.0002,0.9538999795913696,0.1588311642408371
tensorflow_js_wasm,100%,101.574,0.0005,0.9508000016212463,0.16013340651988983
rust_wasm_cpu,100%,58.162,5.6113,0.8365055772810575,4.082339259964769
tensorflow_js_webgpu,100%,43.2139,0.0012,0.9480000734329224,0.17105551064014435
python_gpu,100%,44.8633,0.2461,0.954200029373169,0.1608494073152542
