Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3019,0.0161,3158676736,0.5872044563293457
tensorflow_js_wasm,10%,1.6777,0.0364,3158676224,0.5872055292129517
rust_wasm_cpu,10%,0.0995,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9528,0.0403,3175493376,0.5871907472610474
python_gpu,10%,6.7186,0.9299,3158676224.0,0.5872045755386353
tensorflow_js_cpu,50%,11.2112,0.0695,3463432448,0.5881986618041992
tensorflow_js_wasm,50%,9.2622,0.9975,3463379968,0.5881401300430298
rust_wasm_cpu,50%,0.3453,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.0966,0.1928,3463340800,0.5882170796394348
python_gpu,50%,12.7791,3.7622,3463438336.0,0.5881979465484619
tensorflow_js_cpu,100%,23.6309,0.1459,3612848384,0.5727031230926514
tensorflow_js_wasm,100%,28.914,4.2859,3612450304,0.5727862119674683
rust_wasm_cpu,100%,0.7411,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.2837,0.3898,3613036544,0.5765719413757324
python_gpu,100%,20.8955,7.3376,3612832512.0,0.5727049708366394
