Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,20.3849,0.0002,0.8759999871253967,0.41008374094963074
tensorflow_js_wasm,10%,10.2796,0.0002,0.8709999918937683,0.41814348101615906
rust_wasm_cpu,10%,57.29,5.6849,0.5436371176479,11.796444152892326
tensorflow_js_webgpu,10%,4.7034,0.0002,0.8790000677108765,0.4361580014228821
python_gpu,10%,6.417,0.2456,0.8669999837875366,0.4393223226070404
tensorflow_js_cpu,50%,100.3604,0.0002,0.9160000085830688,0.2849070131778717
tensorflow_js_wasm,50%,49.9279,0.0002,0.9211999773979187,0.2767387330532074
rust_wasm_cpu,50%,58.8917,5.6793,0.7924593317922727,5.408035346483898
tensorflow_js_webgpu,50%,22.48,0.0003,0.912600040435791,0.28692126274108887
python_gpu,50%,22.6882,0.2707,0.9187999963760376,0.27970874309539795
tensorflow_js_cpu,100%,201.1821,0.0002,0.948199987411499,0.17224515974521637
tensorflow_js_wasm,100%,101.2809,0.0005,0.9520000219345093,0.16366876661777496
rust_wasm_cpu,100%,58.4932,5.6934,0.8408635045238748,4.015417915020791
tensorflow_js_webgpu,100%,41.6291,0.001,0.9528000354766846,0.16415730118751526
python_gpu,100%,42.8522,0.2468,0.9509000182151794,0.16070809960365295
