Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3533,0.0153,3158676480,0.5872045159339905
tensorflow_js_wasm,10%,1.6303,0.0652,3158675712,0.5872056484222412
rust_wasm_cpu,10%,0.0725,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9358,0.0428,3175558400,0.5871908068656921
python_gpu,10%,7.0011,0.9019,3158677504.0,0.5872043371200562
tensorflow_js_cpu,50%,12.9752,0.0877,3463437312,0.5881980657577515
tensorflow_js_wasm,50%,9.0004,1.1064,3463388928,0.5881390571594238
rust_wasm_cpu,50%,0.389,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,5.9479,0.1939,3480125440,0.5921070575714111
python_gpu,50%,13.5992,3.8188,3463436288.0,0.588198184967041
tensorflow_js_cpu,100%,24.3595,0.153,3612834560,0.5727047920227051
tensorflow_js_wasm,100%,27.7166,4.3097,3612205824,0.5728150606155396
rust_wasm_cpu,100%,0.6939,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.3208,0.3808,3612886272,0.5726757049560547
python_gpu,100%,20.8857,7.1488,3612953088.0,0.5726907253265381
