Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.5031,0.0185,3158676736,0.5872044563293457
tensorflow_js_wasm,10%,2.0007,0.0692,3158681344,0.5872048735618591
rust_wasm_cpu,10%,0.0846,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.7566,0.0567,3175556864,0.5910972356796265
python_gpu,10%,7.1255,0.9561,3158676736.0,0.5872044563293457
tensorflow_js_cpu,50%,12.5539,0.0834,3463432448,0.5881986618041992
tensorflow_js_wasm,50%,11.2078,1.271,3463371520,0.5881410837173462
rust_wasm_cpu,50%,0.3469,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,8.0239,0.2308,3480102400,0.5882035493850708
python_gpu,50%,14.5955,3.9734,3463450880.0,0.5881964564323425
tensorflow_js_cpu,100%,24.4478,0.152,3612830720,0.5727052688598633
tensorflow_js_wasm,100%,28.8146,3.9283,3612098304,0.5728278160095215
rust_wasm_cpu,100%,0.6909,0.0009,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,63.1874,0.3936,3612955648,0.5766197443008423
python_gpu,100%,23.325,8.1279,3613064960.0,0.572677493095398
