Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.4734000000059604,0.015799999997019767,3158681600,0.587203860282898
tensorflow_js_wasm,10%,1.5893999999985098,0.059,3158668544,0.5872066020965576
rust_wasm_cpu,10%,0.07610000000149011,0.00010000000149011611,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9862999999970197,0.05170000000298023,3175327744,0.5872209072113037
python_gpu,10%,6.882095098495483,0.9699113368988037,3158677504.0,0.5872043371200562
tensorflow_js_cpu,50%,11.972,0.07389999999850988,3463434240,0.5881984233856201
tensorflow_js_wasm,50%,9.03729999999702,1.0009000000059605,3463383040,0.5881397128105164
rust_wasm_cpu,50%,0.377,0.0003999999985098839,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.22330000000447,0.2153999999985099,3463377920,0.5921036601066589
python_gpu,50%,13.74146842956543,4.323305368423462,3463433728.0,0.5881984829902649
tensorflow_js_cpu,100%,29.41069999999553,0.15070000000298023,3612863232,0.5727013349533081
tensorflow_js_wasm,100%,27.02229999999702,3.916,3612143360,0.5728224515914917
rust_wasm_cpu,100%,0.7607000000029802,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.91510000000149,0.4153999999985099,3596110336,0.5766049027442932
python_gpu,100%,22.92662286758423,8.777277946472168,3612833792.0,0.5727047920227051
