Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,16.5561,0.0002,0.871999979019165,0.4267348349094391
tensorflow_js_wasm,10%,10.0564,0.0001,0.8790000081062317,0.42424696683883667
rust_wasm_cpu,10%,57.2138,5.6788,0.5495288077907592,11.580559204802235
tensorflow_js_webgpu,10%,4.6568,0.0002,0.8700000643730164,0.43359747529029846
python_gpu,10%,6.4402,0.2449,0.8859999775886536,0.4223451316356659
tensorflow_js_cpu,50%,100.9499,0.0002,0.9118000268936157,0.29063868522644043
tensorflow_js_wasm,50%,49.8877,0.0005,0.9196000099182129,0.27132049202919006
rust_wasm_cpu,50%,58.796,5.6715,0.7799681258883832,5.80083138321939
tensorflow_js_webgpu,50%,22.5198,0.0004,0.9180000424385071,0.2834847867488861
python_gpu,50%,22.8471,0.2768,0.9164000153541565,0.2785658836364746
tensorflow_js_cpu,100%,200.8786,0.0002,0.9506000280380249,0.16780951619148254
tensorflow_js_wasm,100%,101.6255,0.0004,0.9563000202178955,0.15151120722293854
rust_wasm_cpu,100%,58.2934,5.6441,0.8358706474840907,4.123045873478081
tensorflow_js_webgpu,100%,42.4161,0.0014,0.9520000219345093,0.16146202385425568
python_gpu,100%,44.9417,0.2487,0.9520999789237976,0.16089241206645966
