Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.5018,0.0182,3158685184,0.5872033834457397
tensorflow_js_wasm,10%,1.7323,0.0539,3158672896,0.5872060060501099
rust_wasm_cpu,10%,0.0803,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.241,0.0508,3158717184,0.5872059464454651
python_gpu,10%,7.0623,0.949,3158676224.0,0.5872045755386353
tensorflow_js_cpu,50%,12.1676,0.079,3463432448,0.5881986618041992
tensorflow_js_wasm,50%,9.637,0.9486,3463351296,0.5881434679031372
rust_wasm_cpu,50%,0.4104,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.7182,0.207,3463389696,0.5882189273834229
python_gpu,50%,14.2258,4.0034,3463442688.0,0.5881974101066589
tensorflow_js_cpu,100%,24.5343,0.1545,3612896768,0.5726974010467529
tensorflow_js_wasm,100%,31.2042,4.011,3612194048,0.5728164911270142
rust_wasm_cpu,100%,0.7101,0.0009,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,13.6886,0.8071,3612856832,0.5766237378120422
python_gpu,100%,23.2665,7.9994,3612849152.0,0.5727030038833618
