Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3928,0.0153,3158675968,0.5872045755386353
tensorflow_js_wasm,10%,1.6039,0.036,3158673152,0.5872060060501099
rust_wasm_cpu,10%,0.0667,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9135,0.0389,3175496192,0.5911118984222412
python_gpu,10%,6.5903,0.8708,3158677504.0,0.5872043371200562
tensorflow_js_cpu,50%,11.2974,0.0746,3463435264,0.5881983041763306
tensorflow_js_wasm,50%,8.9648,1.0455,3463379968,0.5881401300430298
rust_wasm_cpu,50%,0.3354,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1806,0.1879,3480097536,0.5882041454315186
python_gpu,50%,12.3694,3.6686,3463434496.0,0.5881984233856201
tensorflow_js_cpu,100%,26.2164,0.1433,3612908544,0.5726960301399231
tensorflow_js_wasm,100%,28.563,4.2378,3612278272,0.5728065371513367
rust_wasm_cpu,100%,0.7066,0.0011,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.3428,0.381,3596013568,0.576623797416687
python_gpu,100%,21.3824,7.242,3612833536.0,0.5727048516273499
