Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.7258,0.0187,3158678528,0.5872042179107666
tensorflow_js_wasm,10%,1.9953,0.0392,3158664704,0.5872070789337158
rust_wasm_cpu,10%,0.0672,0.0,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.1334,0.0419,3175558912,0.5871907472610474
python_gpu,10%,6.8602,1.0537,3158676736.0,0.5872044563293457
tensorflow_js_cpu,50%,12.916,0.0837,3463433472,0.5881985425949097
tensorflow_js_wasm,50%,11.7381,1.3477,3463355648,0.588142991065979
rust_wasm_cpu,50%,0.3403,0.0004,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.8669,0.2024,3480165120,0.5921101570129395
python_gpu,50%,13.6502,4.243,3463432960.0,0.5881985425949097
tensorflow_js_cpu,100%,26.2359,0.1478,3612989440,0.572686493396759
tensorflow_js_wasm,100%,32.2607,5.0317,3612310528,0.5728026628494263
rust_wasm_cpu,100%,0.7254,0.0009,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,21.7077,0.4373,3612965632,0.5765955448150635
python_gpu,100%,23.4212,8.2514,3612841472.0,0.5727038979530334
