Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,17.7375,0.0001,0.875,0.4348572790622711
tensorflow_js_wasm,10%,11.6237,0.0005,0.8840000033378601,0.4190869927406311
rust_wasm_cpu,10%,68.8966,6.3122,0.5532325644582362,11.266923525345977
tensorflow_js_webgpu,10%,4.8486,0.0003,0.862000048160553,0.4494430124759674
python_gpu,10%,6.5863,0.2905,0.8610000014305115,0.437896192073822
tensorflow_js_cpu,50%,108.0912,0.0004,0.9154000282287598,0.2858662009239197
tensorflow_js_wasm,50%,57.1915,0.0005,0.9204000234603882,0.2731439769268036
rust_wasm_cpu,50%,64.6753,6.1414,0.7775847463710893,5.666575205903391
tensorflow_js_webgpu,50%,23.6761,0.0002,0.9164000153541565,0.27615952491760254
python_gpu,50%,27.6529,0.2608,0.9169999957084656,0.29130831360816956
tensorflow_js_cpu,100%,220.498,0.0002,0.9495000243186951,0.17087462544441223
tensorflow_js_wasm,100%,114.5688,0.0006,0.9496999979019165,0.16695578396320343
rust_wasm_cpu,100%,71.1187,6.0202,0.8397812378244996,4.016564776540481
tensorflow_js_webgpu,100%,49.1639,0.0009,0.951900064945221,0.16332177817821503
python_gpu,100%,52.4738,0.2619,0.9516000151634216,0.16304410994052887
