Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3296,0.0155,3158691328,0.5872025489807129
tensorflow_js_wasm,10%,1.6119,0.0648,3158671872,0.5872061252593994
rust_wasm_cpu,10%,0.0754,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9848,0.0419,3175497984,0.5871901512145996
python_gpu,10%,5.5275,1.0281,3158686208.0,0.5872032642364502
tensorflow_js_cpu,50%,11.2089,0.0714,3463494912,0.5881912112236023
tensorflow_js_wasm,50%,10.9066,1.0124,3463316992,0.5881475806236267
rust_wasm_cpu,50%,0.335,0.0004,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.4164,0.1949,3463391488,0.5882035493850708
python_gpu,50%,12.7287,3.7304,3463435520.0,0.5881983041763306
tensorflow_js_cpu,100%,24.3239,0.1485,3612879104,0.5726995468139648
tensorflow_js_wasm,100%,28.5159,4.1938,3612377344,0.5727947950363159
rust_wasm_cpu,100%,0.6868,0.0009,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.5385,0.3902,3596163584,0.5727153420448303
python_gpu,100%,21.2029,7.2974,3612832512.0,0.5727049708366394
