Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.4216,0.0183,3158683136,0.5872036218643188
tensorflow_js_wasm,10%,1.6124,0.0388,3158672640,0.5872060656547546
rust_wasm_cpu,10%,0.0667,0.0,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9264,0.0429,3175556608,0.5872063040733337
python_gpu,10%,5.4869,0.9815,3158683136.0,0.5872036218643188
tensorflow_js_cpu,50%,11.3775,0.0724,3463438336,0.5881979465484619
tensorflow_js_wasm,50%,9.0812,1.0758,3463318016,0.5881474614143372
rust_wasm_cpu,50%,0.3394,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.0572,0.186,3463320320,0.588219404220581
python_gpu,50%,13.6714,3.6749,3463439616.0,0.5881978273391724
tensorflow_js_cpu,100%,31.0923,0.2181,3612832512,0.5727050304412842
tensorflow_js_wasm,100%,28.4003,4.181,3612421376,0.5727895498275757
rust_wasm_cpu,100%,0.7063,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.4466,0.3847,3596024832,0.5727162957191467
python_gpu,100%,21.1008,7.1609,3613001472.0,0.5726850032806396
