Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3264,0.0159,3158679296,0.587204098701477
tensorflow_js_wasm,10%,1.6076,0.038,3158690816,0.5872036814689636
rust_wasm_cpu,10%,0.0778,0.0002,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.8118,0.0407,3158782976,0.5910967588424683
python_gpu,10%,6.8425,0.9338,3158677248.0,0.5872043967247009
tensorflow_js_cpu,50%,11.2477,0.0698,3463458048,0.5881955623626709
tensorflow_js_wasm,50%,10.8818,1.0217,3463334656,0.5881454944610596
rust_wasm_cpu,50%,0.3353,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.0863,0.193,3480174848,0.592124342918396
python_gpu,50%,12.3073,3.7775,3463435520.0,0.5881983041763306
tensorflow_js_cpu,100%,23.8071,0.1456,3612928256,0.5726937055587769
tensorflow_js_wasm,100%,28.387,4.2769,3612299008,0.5728040933609009
rust_wasm_cpu,100%,0.6909,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.3804,0.389,3596182272,0.5726749300956726
python_gpu,100%,20.6848,7.9074,3612848128.0,0.5727031230926514
