Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.3569,0.0153,3158679552,0.587204098701477
tensorflow_js_wasm,10%,1.6247,0.036,3158667520,0.5872067213058472
rust_wasm_cpu,10%,0.1333,0.0,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.8631,0.0428,3175556864,0.5910972356796265
python_gpu,10%,6.7194,0.8876,3158679808.0,0.587204098701477
tensorflow_js_cpu,50%,11.179,0.0695,3463439104,0.5881978273391724
tensorflow_js_wasm,50%,10.1785,1.0454,3463382016,0.5881398320198059
rust_wasm_cpu,50%,0.3368,0.0006,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.1823,0.1989,3463448576,0.5881967544555664
python_gpu,50%,13.5129,3.8084,3463500544.0,0.5881905555725098
tensorflow_js_cpu,100%,23.8231,0.1401,3612835840,0.5727046132087708
tensorflow_js_wasm,100%,29.0941,4.3236,3612360960,0.5727967023849487
rust_wasm_cpu,100%,0.7025,0.0011,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.4524,0.3848,3596015616,0.5727020502090454
python_gpu,100%,20.7748,7.0996,3612830208.0,0.5727052092552185
