Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2.5831,0.02,3158678016,0.5872043371200562
tensorflow_js_wasm,10%,1.8164,0.0363,3158668800,0.5872065424919128
rust_wasm_cpu,10%,0.0747,0.0001,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,1.9954,0.0459,3175556608,0.5872063040733337
python_gpu,10%,6.9729,0.9671,3158677504.0,0.5872043371200562
tensorflow_js_cpu,50%,11.8961,0.0807,3463432960,0.5881985425949097
tensorflow_js_wasm,50%,9.5217,0.954,3463366400,0.588141679763794
rust_wasm_cpu,50%,0.3695,0.0005,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.7068,0.1949,3463394304,0.5921247005462646
python_gpu,50%,14.5149,4.0589,3463432448.0,0.5881986618041992
tensorflow_js_cpu,100%,24.6723,0.1472,3612941568,0.5726921558380127
tensorflow_js_wasm,100%,26.9422,4.0269,3612268800,0.5728076696395874
rust_wasm_cpu,100%,0.7613,0.001,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,13.683,0.3902,3612919552,0.5727100968360901
python_gpu,100%,24.117,7.8302,3612839424.0,0.5727041363716125
